,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
15,litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,191.19,12762643725,16,,3382779375,192.45,180.33,10.33,5.70892,698971721.0,5.79402,66752614.5153875,84000000.0,,410.26,-53.39713,2021-05-10T03:13:07.904Z,1.15,16542.2185,2015-01-14T00:00:00.000Z,,2021-09-16T04:40:01.672Z
16,bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492,644.98,12156385412,17,13545024628.0,7114495571,658.07,633.75,7.35,1.15324,107676466.0,0.89368,18847074.8967735,21000000.0,21000000.0,3785.82,-82.96337,2017-12-20T00:00:00.000Z,76.93,738.3412,2018-12-16T00:00:00.000Z,,2021-09-16T04:40:15.262Z
17,algorand,algo,Algorand,https://assets.coingecko.com/coins/images/4380/large/download.png?1547039725,1.95,10226935563,18,19503646880.0,721387148,2.08,1.88,-0.069933505473,-3.46154,-320335092.84719086,-3.03714,5243601684.2955,5782585813.81779,10000000000.0,3.56,-45.62848,2019-06-20T14:51:19.480Z,0.105336,1738.17762,2020-03-13T02:20:48.438Z,"{'times': -0.18734804667319957, 'currency': 'usd', 'percentage': -18.73480466731996}",2021-09-16T04:40:39.692Z
18,wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744,48444.0,9968337078,19,9968337078.0,345095985,48526.0,46900.0,1252.36,2.65379,275035319.0,2.83737,205771.03443419,205771.03443419,205771.03443419,64565.0,-25.52581,2021-04-14T12:00:05.340Z,3139.17,1431.75476,2019-04-02T00:00:00.000Z,,2021-09-16T04:40:43.483Z
19,internet-computer,icp,Internet Computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1620703073,60.61,9865272378,20,28429467442.0,372535216,61.82,57.16,2.89,5.01528,457147440.0,4.85907,162821236.87,469213710.0,469213710.0,700.65,-91.34922,2021-05-10T16:05:53.653Z,27.44,120.91569,2021-07-20T10:14:50.919Z,,2021-09-16T04:40:40.741Z
20,matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/matic-token-icon.png?1624446912,1.47,9747439195,21,14652734034.0,994025851,1.47,1.33,0.113105,8.36479,730781505.0,8.10479,6652300637.1,10000000000.0,10000000000.0,2.62,-44.28736,2021-05-18T19:38:18.813Z,0.00314376,46338.29086,2019-05-10T00:00:00.000Z,"{'times': 556.133961154565, 'currency': 'usd', 'percentage': 55613.396115456504}",2021-09-16T04:40:57.608Z
21,filecoin,fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1602753933,90.25,9684077157,22,178648225270.0,1325062784,90.73,84.03,5.25,6.17404,620679738.0,6.8482,106896343.0,1971983665.0,1971983665.0,236.84,-61.83373,2021-04-01T13:29:41.564Z,20.06,350.62276,2020-12-29T22:32:28.483Z,,2021-09-16T04:40:44.117Z
22,cosmos,atom,Cosmos,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,32.38,9042531917,23,,1010015997,34.78,31.68,-0.834853570249,-2.51314,-200443160.32643127,-2.1686,279227587.868588,,,38.69,-16.28693,2021-09-13T16:30:15.536Z,1.16,2691.66449,2020-03-13T02:27:44.591Z,"{'times': 322.8473576400146, 'currency': 'usd', 'percentage': 32284.73576400146}",2021-09-16T04:40:40.314Z
23,ftx-token,ftt,FTX Token,https://assets.coingecko.com/coins/images/9026/large/F.png?1609051564,70.7,8537963248,24,23798455622.0,548032107,72.87,66.98,3.46,5.14926,431216419.0,5.31923,120775460.61874324,336645796.685971,336645796.685971,84.18,-16.52393,2021-09-09T16:59:43.151Z,1.15,6012.1256,2019-09-06T00:00:00.000Z,,2021-09-16T04:40:52.925Z
24,tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,0.117319,8408421119,25,,2611847650,0.122318,0.114257,0.00148276,1.28004,103730776.0,1.24906,71660220128.0,100850743812.0,,0.231673,-49.35211,2018-01-05T00:00:00.000Z,0.00180434,6403.05678,2017-11-12T00:00:00.000Z,"{'times': 60.74701999921321, 'currency': 'usd', 'percentage': 6074.701999921321}",2021-09-16T04:40:42.220Z
25,vechain,vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VeChain-Logo-768x725.png?1547035194,0.121092,8084014863,27,,442274751,0.123104,0.116187,0.00399347,3.41036,258668216.0,3.30552,66760741299.0,86712634466.0,,0.280991,-56.90728,2021-04-19T01:08:21.675Z,0.00191713,6216.02903,2020-03-13T02:29:59.652Z,"{'times': 10.548198827018112, 'currency': 'eth', 'percentage': 1054.8198827018111}",2021-09-16T04:40:44.243Z
26,stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,0.340157,8062690836,26,17007240638.0,539439123,0.343257,0.333294,0.0056868,1.70024,145821280.0,1.84191,23704555357.3019,50001802796.4414,50001802796.4414,0.875563,-61.1527,2018-01-03T00:00:00.000Z,0.00047612,71337.89924,2015-03-05T00:00:00.000Z,,2021-09-16T04:41:01.325Z
27,ethereum-classic,etc,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1547034169,59.1,7670290650,28,,4698239082,59.69,56.84,2.1,3.68563,275618178.0,3.72725,129787988.670239,210700000.0,,167.09,-64.62892,2021-05-06T18:34:22.133Z,0.615038,9509.14594,2016-07-25T00:00:00.000Z,"{'times': 130.33310886236745, 'currency': 'usd', 'percentage': 13033.310886236746}",2021-09-16T04:40:20.604Z
28,theta-token,theta,Theta Network,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1548387191,6.82,6820368148,29,,370815206,7.07,6.63,0.04125209,0.60852,17427794.0,0.25618,1000000000.0,1000000000.0,,15.72,-56.61266,2021-04-16T13:15:11.190Z,0.04039979,16782.18521,2020-03-13T02:24:16.483Z,"{'times': 44.46912098820271, 'currency': 'usd', 'percentage': 4446.912098820271}",2021-09-16T04:39:22.563Z
29,compound-ether,ceth,cETH,https://assets.coingecko.com/coins/images/10643/large/ceth2.JPG?1581389598,73.48,6514767610,30,,347283596,73.54,67.68,5.23,7.65515,774585938.0,13.4941,88660650.1942685,88660650.1942685,,87.15,-17.35379,2021-05-12T14:49:23.076Z,1.89,3718.22653,2020-03-13T02:22:33.711Z,,2021-09-16T04:34:27.538Z
